temperature_c,elapsed_minutes,delay_minutes,delayed_this_minute,distance_remaining_km,risk_score,anomaly_score,confidence,remaining_safe_minutes,label_escalate,risk_level_now
4.15,1,1,1,4.73,0.9,0.4,0.56,239,0,LOW
4.16,2,2,1,4.73,0.9,0.4,0.56,238,0,LOW
4.11,3,3,1,4.73,0.9,0.4,0.56,237,0,LOW
4.2,4,4,1,4.73,0.4,0.4,0.44,236,0,LOW
4.25,5,5,1,4.73,0.4,0.4,0.44,235,0,LOW
4.27,6,6,1,4.73,0.4,0.4,0.44,234,0,LOW
5.48,7,7,1,4.73,0.4,0.4,0.44,233,0,LOW
6.26,8,8,1,4.73,0.4,0.4,0.44,232,0,LOW
6.66,9,9,1,4.73,0.4,0.4,0.44,231,0,LOW
7.05,10,10,1,4.73,0.4,0.4,0.44,230,0,LOW
7.33,11,11,1,4.73,0.4,0.4,0.44,229,0,LOW
7.24,12,12,1,4.73,0.4,0.4,0.44,228,0,LOW
7.13,13,13,1,4.73,0.4,0.4,0.44,227,0,LOW
8.0,14,14,1,4.73,1.4,0.4,0.56,226,0,MODERATE
8.0,15,15,1,4.73,1.4,0.4,0.56,225,0,MODERATE
8.0,16,16,1,4.73,1.4,0.4,0.56,224,0,MODERATE
8.0,17,17,1,4.73,1.4,0.4,0.56,223,0,MODERATE
8.0,18,18,1,4.73,1.4,0.4,0.56,222,0,MODERATE
8.0,19,19,1,4.73,1.4,0.4,0.56,221,0,MODERATE
8.0,20,20,1,4.73,1.4,0.4,0.56,220,0,MODERATE
7.98,21,21,1,4.73,1.4,0.4,0.56,219,0,MODERATE
7.83,22,22,1,4.73,1.4,0.4,0.56,218,0,MODERATE
7.83,23,23,1,4.73,1.4,0.4,0.56,217,0,MODERATE
7.75,24,24,1,4.73,1.4,0.4,0.56,216,0,MODERATE
7.74,25,25,1,4.73,1.4,0.4,0.56,215,0,MODERATE
7.59,26,26,1,4.73,1.4,0.4,0.56,214,0,MODERATE
7.62,27,27,1,4.73,1.4,0.4,0.56,213,0,MODERATE
7.03,28,28,1,4.73,0.4,0.4,0.44,212,0,LOW
6.57,29,29,1,4.73,0.4,0.4,0.44,211,0,LOW
6.2,30,30,1,4.73,0.4,0.4,0.44,210,0,LOW
6.05,31,31,1,4.73,1.4,0.4,0.56,209,0,MODERATE
5.86,32,32,1,4.73,1.4,0.4,0.56,208,0,MODERATE
5.81,33,33,1,4.73,1.4,0.4,0.56,207,0,MODERATE
5.95,34,33,0,4.36,1.09,0.09,0.53,206,0,MODERATE
5.72,35,33,0,3.99,1.11,0.11,0.53,205,0,MODERATE
5.72,36,33,0,3.62,1.1,0.1,0.53,204,0,MODERATE
5.82,37,34,1,3.62,1.4,0.4,0.56,203,0,MODERATE
5.84,38,35,1,3.62,1.4,0.4,0.56,202,0,MODERATE
5.73,39,36,1,3.62,1.4,0.4,0.56,201,0,MODERATE
5.72,40,37,1,3.62,1.4,0.4,0.56,200,0,MODERATE
5.8,41,37,0,3.25,1.04,0.04,0.52,199,0,MODERATE
5.65,42,38,1,3.25,1.4,0.4,0.56,198,0,MODERATE
5.74,43,39,1,3.25,1.4,0.4,0.56,197,0,MODERATE
5.52,44,40,1,3.25,1.4,0.4,0.56,196,0,MODERATE
5.54,45,41,1,3.25,1.4,0.4,0.56,195,0,MODERATE
5.47,46,42,1,3.25,1.4,0.4,0.56,194,0,MODERATE
5.44,47,43,1,3.25,1.4,0.4,0.56,193,0,MODERATE
5.36,48,44,1,3.25,1.4,0.4,0.56,192,0,MODERATE
5.29,49,45,1,3.25,1.4,0.4,0.56,191,1,MODERATE
6.6,50,45,0,2.88,1.26,0.26,0.55,190,1,MODERATE
7.38,51,45,0,2.51,1.25,0.25,0.54,189,1,MODERATE
7.24,52,45,0,2.14,1.16,0.16,0.54,188,1,MODERATE
7.15,53,45,0,1.77,1.12,0.12,0.53,187,1,MODERATE
7.05,54,46,1,1.77,1.4,0.4,0.56,186,1,MODERATE
7.1,55,47,1,1.77,1.4,0.4,0.56,185,1,MODERATE
7.09,56,48,1,1.77,1.4,0.4,0.56,184,1,MODERATE
7.03,57,49,1,1.77,1.4,0.4,0.56,183,1,MODERATE
6.89,58,50,1,1.77,1.4,0.4,0.56,182,1,MODERATE
8.0,59,51,1,1.77,2.4,0.4,0.68,181,0,HIGH
8.0,60,52,1,7.45,2.4,0.4,0.68,180,0,HIGH
8.0,61,53,1,7.45,2.4,0.4,0.68,179,0,HIGH
8.0,62,54,1,7.45,2.4,0.4,0.68,178,0,HIGH
8.0,63,55,1,7.45,2.4,0.4,0.68,177,0,HIGH
8.0,64,56,1,7.45,2.4,0.4,0.68,176,0,HIGH
7.94,65,57,1,7.45,2.4,0.4,0.68,175,0,HIGH
7.91,66,58,1,7.45,2.4,0.4,0.68,174,0,HIGH
7.83,67,59,1,7.45,2.4,0.4,0.68,173,0,HIGH
7.72,68,59,0,7.08,2.02,0.02,0.64,172,0,HIGH
7.54,69,60,1,7.08,2.4,0.4,0.68,171,0,HIGH
7.48,70,61,1,7.08,2.2,0.7,0.59,170,0,HIGH
7.49,71,62,1,7.08,2.2,0.7,0.59,169,0,HIGH
8.0,72,63,1,7.08,3.2,0.7,0.71,168,0,CRITICAL
8.0,73,64,1,7.08,3.2,0.7,0.71,167,0,CRITICAL
8.0,74,65,1,7.08,3.2,0.7,0.71,166,0,CRITICAL
8.0,75,66,1,7.08,3.2,0.7,0.71,165,0,CRITICAL
7.9,76,67,1,7.08,3.2,0.7,0.71,164,0,CRITICAL
7.83,77,68,1,7.08,3.2,0.7,0.71,163,0,CRITICAL
7.71,78,69,1,7.08,3.2,0.7,0.71,162,0,CRITICAL
7.61,79,70,1,7.08,3.2,0.7,0.71,161,0,CRITICAL
7.42,80,71,1,7.08,2.2,0.7,0.59,160,0,HIGH
8.0,81,72,1,7.08,3.2,0.7,0.71,159,0,CRITICAL
8.0,82,73,1,7.08,3.2,0.7,0.71,158,0,CRITICAL
