temperature_c,elapsed_minutes,delay_minutes,delayed_this_minute,distance_remaining_km,risk_score,anomaly_score,confidence,remaining_safe_minutes,label_escalate,risk_level_now
4.12,1,1,1,4.73,0.4,0.4,0.44,719,0,LOW
4.26,2,2,1,4.73,0.4,0.4,0.44,718,0,LOW
4.36,3,3,1,4.73,0.4,0.4,0.44,717,0,LOW
4.38,4,4,1,4.73,0.4,0.4,0.44,716,0,LOW
4.45,5,5,1,4.73,0.4,0.4,0.44,715,0,LOW
4.41,6,6,1,4.73,0.4,0.4,0.44,714,0,LOW
5.74,7,7,1,4.73,0.4,0.4,0.44,713,0,LOW
6.57,8,8,1,4.73,0.4,0.4,0.44,712,0,LOW
7.05,9,9,1,4.73,0.4,0.4,0.44,711,0,LOW
6.88,10,10,1,4.73,0.4,0.4,0.44,710,0,LOW
6.84,11,11,1,4.73,0.4,0.4,0.44,709,0,LOW
6.73,12,12,1,4.73,0.4,0.4,0.44,708,0,LOW
6.63,13,13,1,4.73,0.4,0.4,0.44,707,0,LOW
6.67,14,14,1,4.73,0.4,0.4,0.44,706,0,LOW
6.57,15,14,0,4.39,0.04,0.04,0.4,705,0,LOW
6.63,16,15,1,4.39,0.4,0.4,0.44,704,0,LOW
7.41,17,16,1,4.39,0.4,0.4,0.44,703,0,LOW
7.87,18,17,1,4.39,1.4,0.4,0.56,702,0,MODERATE
8.0,19,18,1,4.39,1.4,0.4,0.56,701,0,MODERATE
8.0,20,19,1,4.39,1.4,0.4,0.56,700,0,MODERATE
8.0,21,20,1,4.39,1.4,0.4,0.56,699,0,MODERATE
7.91,22,21,1,4.39,1.4,0.4,0.56,698,0,MODERATE
8.0,23,22,1,4.39,1.4,0.4,0.56,697,0,MODERATE
8.0,24,23,1,4.39,1.4,0.4,0.56,696,0,MODERATE
7.99,25,24,1,4.39,1.4,0.4,0.56,695,0,MODERATE
7.89,26,25,1,4.39,1.4,0.4,0.56,694,0,MODERATE
7.77,27,26,1,4.39,1.4,0.4,0.56,693,0,MODERATE
7.67,28,27,1,4.39,1.4,0.4,0.56,692,0,MODERATE
7.55,29,28,1,4.39,1.4,0.4,0.56,691,0,MODERATE
7.45,30,29,1,4.39,0.4,0.4,0.44,690,0,LOW
7.26,31,29,0,4.04,0.13,0.13,0.41,689,0,LOW
7.3,32,30,1,4.04,0.4,0.4,0.44,688,0,LOW
7.22,33,31,1,4.04,1.4,0.4,0.56,687,0,MODERATE
7.1,34,32,1,4.04,1.4,0.4,0.56,686,0,MODERATE
7.18,35,33,1,4.04,1.4,0.4,0.56,685,0,MODERATE
7.15,36,34,1,4.04,1.4,0.4,0.56,684,0,MODERATE
7.15,37,35,1,4.04,1.4,0.4,0.56,683,0,MODERATE
6.87,38,35,0,3.7,1.17,0.17,0.54,682,0,MODERATE
6.76,39,36,1,3.7,1.4,0.4,0.56,681,0,MODERATE
6.79,40,37,1,3.7,1.4,0.4,0.56,680,0,MODERATE
6.6,41,38,1,3.7,1.4,0.4,0.56,679,0,MODERATE
6.5,42,39,1,3.7,1.4,0.4,0.56,678,1,MODERATE
6.48,43,40,1,3.7,1.4,0.4,0.56,677,1,MODERATE
6.36,44,41,1,3.7,1.4,0.4,0.56,676,1,MODERATE
6.41,45,42,1,3.7,1.4,0.4,0.56,675,1,MODERATE
6.44,46,43,1,3.7,1.4,0.4,0.56,674,1,MODERATE
6.37,47,44,1,3.7,1.4,0.4,0.56,673,1,MODERATE
6.27,48,45,1,3.7,1.4,0.4,0.56,672,1,MODERATE
6.18,49,46,1,3.7,1.4,0.4,0.56,671,1,MODERATE
6.2,50,46,0,3.35,1.1,0.1,0.53,670,1,MODERATE
7.29,51,47,1,3.35,1.4,0.4,0.56,669,1,MODERATE
7.74,52,48,1,3.35,2.4,0.4,0.68,668,0,HIGH
7.56,53,48,0,5.54,2.14,0.14,0.65,667,0,HIGH
7.5,54,49,1,5.54,1.4,0.4,0.56,666,0,MODERATE
7.39,55,50,1,5.54,1.4,0.4,0.56,665,0,MODERATE
7.34,56,51,1,5.54,1.4,0.4,0.56,664,1,MODERATE
7.28,57,52,1,5.54,1.4,0.4,0.56,663,1,MODERATE
7.26,58,53,1,5.54,1.4,0.4,0.56,662,1,MODERATE
7.15,59,54,1,5.54,1.4,0.4,0.56,661,1,MODERATE
6.91,60,55,1,5.54,1.4,0.4,0.56,660,1,MODERATE
6.84,61,56,1,5.54,1.4,0.4,0.56,659,1,MODERATE
6.69,62,57,1,5.54,1.4,0.4,0.56,658,1,MODERATE
6.76,63,58,1,5.54,1.4,0.4,0.56,657,1,MODERATE
6.67,64,59,1,5.54,1.4,0.4,0.56,656,1,MODERATE
6.66,65,60,1,5.54,1.4,0.4,0.56,655,1,MODERATE
6.63,66,61,1,5.54,2.2,0.7,0.59,654,0,HIGH
6.6,67,62,1,5.54,2.2,0.7,0.59,653,0,HIGH
6.49,68,63,1,5.54,2.2,0.7,0.59,652,0,HIGH
6.55,69,64,1,5.54,2.2,0.7,0.59,651,0,HIGH
6.57,70,65,1,5.54,2.2,0.7,0.59,650,0,HIGH
6.43,71,65,0,5.2,2.2,0.7,0.59,649,0,HIGH
6.58,72,66,1,8.68,2.2,0.7,0.59,648,0,HIGH
6.6,73,67,1,8.68,2.2,0.7,0.59,647,0,HIGH
6.66,74,68,1,8.68,2.2,0.7,0.59,646,0,HIGH
6.58,75,69,1,8.68,2.2,0.7,0.59,645,0,HIGH
6.47,76,70,1,8.68,2.2,0.7,0.59,644,0,HIGH
7.63,77,71,1,8.68,3.2,0.7,0.71,643,0,CRITICAL
8.0,78,72,1,8.68,3.2,0.7,0.71,642,0,CRITICAL
8.0,79,73,1,8.68,3.2,0.7,0.71,641,0,CRITICAL
8.0,80,74,1,8.68,3.2,0.7,0.71,640,0,CRITICAL
7.96,81,74,0,8.33,3.2,0.7,0.71,639,0,CRITICAL
7.97,82,75,1,8.33,3.2,0.7,0.71,638,0,CRITICAL
8.0,83,76,1,8.33,3.2,0.7,0.71,637,0,CRITICAL
8.0,84,77,1,8.33,3.2,0.7,0.71,636,0,CRITICAL
8.0,85,78,1,8.33,3.2,0.7,0.71,635,0,CRITICAL
8.0,86,79,1,8.33,3.2,0.7,0.71,634,0,CRITICAL
8.0,87,80,1,8.33,3.2,0.7,0.71,633,0,CRITICAL
8.0,88,81,1,8.33,3.2,0.7,0.71,632,0,CRITICAL
7.83,89,82,1,8.33,3.2,0.7,0.71,631,0,CRITICAL
7.85,90,83,1,8.33,3.2,0.7,0.71,630,0,CRITICAL
7.68,91,84,1,8.33,3.2,0.7,0.71,629,0,CRITICAL
7.62,92,85,1,8.33,3.2,0.7,0.71,628,0,CRITICAL
7.59,93,86,1,8.33,3.2,0.7,0.71,627,0,CRITICAL
7.59,94,87,1,8.33,3.2,0.7,0.71,626,0,CRITICAL
7.42,95,88,1,8.33,2.2,0.7,0.59,625,0,HIGH
7.45,96,89,1,8.33,2.2,0.7,0.59,624,0,HIGH
7.24,97,90,1,8.33,2.2,0.7,0.59,623,0,HIGH
7.0,98,90,0,7.99,2.2,0.7,0.59,622,0,HIGH
7.01,99,91,1,7.99,2.2,0.7,0.59,621,0,HIGH
6.88,100,92,1,7.99,2.2,0.7,0.59,620,0,HIGH
6.83,101,93,1,7.99,2.2,0.7,0.59,619,0,HIGH
6.62,102,94,1,7.99,2.2,0.7,0.59,618,0,HIGH
6.55,103,95,1,7.99,2.2,0.7,0.59,617,0,HIGH
6.53,104,96,1,7.99,2.2,0.7,0.59,616,0,HIGH
6.49,105,97,1,7.99,2.2,0.7,0.59,615,0,HIGH
7.63,106,97,0,7.64,3.2,0.7,0.71,614,0,CRITICAL
8.0,107,98,1,7.64,3.2,0.7,0.71,613,0,CRITICAL
8.0,108,99,1,7.64,3.2,0.7,0.71,612,0,CRITICAL
8.0,109,100,1,7.64,3.2,0.7,0.71,611,0,CRITICAL
8.0,110,101,1,7.64,3.2,0.7,0.71,610,0,CRITICAL
7.97,111,102,1,7.64,3.2,0.7,0.71,609,0,CRITICAL
8.0,112,103,1,7.64,3.2,0.7,0.71,608,0,CRITICAL
8.0,113,104,1,7.64,3.2,0.7,0.71,607,0,CRITICAL
8.0,114,105,1,7.64,3.2,0.7,0.71,606,0,CRITICAL
8.0,115,106,1,7.64,3.2,0.7,0.71,605,0,CRITICAL
8.0,116,107,1,7.64,3.2,0.7,0.71,604,0,CRITICAL
7.99,117,108,1,7.64,3.2,0.7,0.71,603,0,CRITICAL
7.94,118,109,1,7.64,3.2,0.7,0.71,602,0,CRITICAL
7.93,119,110,1,7.64,3.2,0.7,0.71,601,0,CRITICAL
7.71,120,111,1,7.64,3.2,0.7,0.71,600,0,CRITICAL
7.69,121,112,1,7.64,3.2,0.7,0.71,599,0,CRITICAL
7.62,122,113,1,7.64,3.2,0.7,0.71,598,0,CRITICAL
7.48,123,114,1,7.64,2.2,0.7,0.59,597,0,HIGH
7.32,124,115,1,7.64,2.2,0.7,0.59,596,0,HIGH
7.26,125,116,1,7.64,2.2,0.7,0.59,595,0,HIGH
7.11,126,117,1,7.64,2.2,0.7,0.59,594,0,HIGH
8.0,127,118,1,7.64,3.2,0.7,0.71,593,0,CRITICAL
8.0,128,119,1,7.64,3.2,0.7,0.71,592,0,CRITICAL
7.83,129,120,1,7.64,3.2,0.7,0.71,591,0,CRITICAL
7.79,130,121,1,7.64,3.2,0.7,0.71,590,0,CRITICAL
7.61,131,121,0,7.3,3.2,0.7,0.71,589,0,CRITICAL
7.65,132,122,1,7.3,3.2,0.7,0.71,588,0,CRITICAL
7.73,133,123,1,7.3,3.2,0.7,0.71,587,0,CRITICAL
7.59,134,124,1,7.3,3.2,0.7,0.71,586,0,CRITICAL
7.62,135,125,1,7.3,3.2,0.7,0.71,585,0,CRITICAL
7.48,136,126,1,7.3,2.2,0.7,0.59,584,0,HIGH
7.43,137,127,1,7.3,2.2,0.7,0.59,583,0,HIGH
7.38,138,128,1,7.3,2.2,0.7,0.59,582,0,HIGH
7.38,139,129,1,7.3,2.2,0.7,0.59,581,0,HIGH
7.43,140,130,1,7.3,2.2,0.7,0.59,580,0,HIGH
7.3,141,131,1,7.3,2.2,0.7,0.59,579,0,HIGH
7.31,142,132,1,7.3,2.2,0.7,0.59,578,0,HIGH
7.26,143,133,1,7.3,2.2,0.7,0.59,577,0,HIGH
7.17,144,134,1,7.3,2.2,0.7,0.59,576,0,HIGH
7.09,145,135,1,7.3,2.2,0.7,0.59,575,0,HIGH
6.99,146,135,0,6.95,2.2,0.7,0.59,574,0,HIGH
6.93,147,135,0,6.6,2.2,0.7,0.59,573,0,HIGH
6.84,148,136,1,6.6,2.2,0.7,0.59,572,0,HIGH
6.64,149,137,1,6.6,2.2,0.7,0.59,571,0,HIGH
6.56,150,138,1,6.6,2.2,0.7,0.59,570,0,HIGH
6.58,151,139,1,6.6,2.2,0.7,0.59,569,0,HIGH
6.45,152,140,1,6.6,2.2,0.7,0.59,568,0,HIGH
6.37,153,141,1,6.6,2.2,0.7,0.59,567,0,HIGH
6.32,154,142,1,6.6,2.2,0.7,0.59,566,0,HIGH
6.48,155,143,1,6.6,2.2,0.7,0.59,565,0,HIGH
6.59,156,144,1,6.6,2.2,0.7,0.59,564,0,HIGH
6.69,157,145,1,6.6,2.2,0.7,0.59,563,0,HIGH
6.69,158,146,1,6.6,2.2,0.7,0.59,562,0,HIGH
6.65,159,147,1,6.6,2.2,0.7,0.59,561,0,HIGH
6.59,160,148,1,6.6,2.2,0.7,0.59,560,0,HIGH
6.6,161,149,1,6.6,2.2,0.7,0.59,559,0,HIGH
6.6,162,150,1,6.6,2.2,0.7,0.59,558,0,HIGH
6.5,163,151,1,6.6,2.2,0.7,0.59,557,0,HIGH
6.44,164,152,1,6.6,2.2,0.7,0.59,556,0,HIGH
6.17,165,153,1,6.6,2.2,0.7,0.59,555,0,HIGH
6.2,166,154,1,6.6,2.2,0.7,0.59,554,0,HIGH
6.18,167,155,1,6.6,2.2,0.7,0.59,553,0,HIGH
7.62,168,156,1,6.6,3.2,0.7,0.71,552,0,CRITICAL
8.0,169,157,1,6.6,3.2,0.7,0.71,551,0,CRITICAL
8.0,170,158,1,6.6,3.2,0.7,0.71,550,0,CRITICAL
8.0,171,159,1,6.6,3.2,0.7,0.71,549,0,CRITICAL
8.0,172,160,1,6.6,3.2,0.7,0.71,548,0,CRITICAL
7.92,173,161,1,6.6,3.2,0.7,0.71,547,0,CRITICAL
7.92,174,162,1,6.6,3.2,0.7,0.71,546,0,CRITICAL
7.85,175,163,1,6.6,3.2,0.7,0.71,545,0,CRITICAL
7.89,176,164,1,6.6,3.2,0.7,0.71,544,0,CRITICAL
7.93,177,165,1,6.6,3.2,0.7,0.71,543,0,CRITICAL
7.84,178,166,1,6.6,3.2,0.7,0.71,542,0,CRITICAL
8.0,179,167,1,6.6,3.2,0.7,0.71,541,0,CRITICAL
8.0,180,168,1,6.6,3.2,0.7,0.71,540,0,CRITICAL
7.87,181,169,1,6.6,3.2,0.7,0.71,539,0,CRITICAL
7.75,182,170,1,6.6,3.2,0.7,0.71,538,0,CRITICAL
7.71,183,171,1,6.6,3.2,0.7,0.71,537,0,CRITICAL
7.69,184,172,1,6.6,3.2,0.7,0.71,536,0,CRITICAL
7.54,185,173,1,6.6,3.2,0.7,0.71,535,0,CRITICAL
7.39,186,174,1,6.6,2.2,0.7,0.59,534,0,HIGH
7.3,187,174,0,6.26,2.2,0.7,0.59,533,0,HIGH
7.2,188,174,0,5.91,2.2,0.7,0.59,532,0,HIGH
7.16,189,174,0,5.57,2.2,0.7,0.59,531,0,HIGH
7.11,190,175,1,5.57,2.2,0.7,0.59,530,0,HIGH
7.07,191,176,1,5.57,2.2,0.7,0.59,529,0,HIGH
7.02,192,177,1,5.57,2.2,0.7,0.59,528,0,HIGH
7.06,193,178,1,5.57,2.2,0.7,0.59,527,0,HIGH
6.92,194,179,1,5.57,2.2,0.7,0.59,526,0,HIGH
6.75,195,180,1,5.57,2.2,0.7,0.59,525,0,HIGH
6.58,196,181,1,5.57,2.2,0.7,0.59,524,0,HIGH
6.57,197,182,1,5.57,2.2,0.7,0.59,523,0,HIGH
6.57,198,183,1,5.57,2.2,0.7,0.59,522,0,HIGH
6.54,199,184,1,5.57,2.2,0.7,0.59,521,0,HIGH
6.44,200,185,1,5.57,2.2,0.7,0.59,520,0,HIGH
6.29,201,185,0,5.22,2.2,0.7,0.59,519,0,HIGH
6.2,202,185,0,4.88,2.2,0.7,0.59,518,0,HIGH
6.13,203,185,0,4.53,2.2,0.7,0.59,517,0,HIGH
7.89,204,186,1,4.53,3.2,0.7,0.71,516,0,CRITICAL
8.0,205,187,1,4.53,3.2,0.7,0.71,515,0,CRITICAL
8.0,206,188,1,4.53,3.2,0.7,0.71,514,0,CRITICAL
8.0,207,189,1,4.53,3.2,0.7,0.71,513,0,CRITICAL
8.0,208,190,1,4.53,3.2,0.7,0.71,512,0,CRITICAL
8.0,209,191,1,4.53,3.2,0.7,0.71,511,0,CRITICAL
8.0,210,192,1,4.53,3.2,0.7,0.71,510,0,CRITICAL
8.0,211,193,1,4.53,3.2,0.7,0.71,509,0,CRITICAL
8.0,212,194,1,4.53,3.2,0.7,0.71,508,0,CRITICAL
8.0,213,195,1,4.53,3.2,0.7,0.71,507,0,CRITICAL
7.89,214,196,1,4.53,3.2,0.7,0.71,506,0,CRITICAL
7.92,215,197,1,4.53,3.2,0.7,0.71,505,0,CRITICAL
7.99,216,198,1,4.53,3.2,0.7,0.71,504,0,CRITICAL
7.91,217,199,1,4.53,3.2,0.7,0.71,503,0,CRITICAL
7.82,218,200,1,4.53,3.2,0.7,0.71,502,0,CRITICAL
7.82,219,201,1,4.53,3.2,0.7,0.71,501,0,CRITICAL
7.69,220,202,1,4.53,3.2,0.7,0.71,500,0,CRITICAL
7.55,221,203,1,4.53,3.2,0.7,0.71,499,0,CRITICAL
7.93,222,204,1,4.53,3.2,0.7,0.71,498,0,CRITICAL
