temperature_c,elapsed_minutes,delay_minutes,delayed_this_minute,distance_remaining_km,risk_score,anomaly_score,confidence,remaining_safe_minutes,label_escalate,risk_level_now
4.02,1,0,0,4.42,0.5,0.0,0.52,359,0,LOW
4.04,2,1,1,4.42,0.9,0.4,0.56,358,0,LOW
4.09,3,2,1,4.42,0.9,0.4,0.56,357,0,LOW
5.99,4,3,1,4.42,0.4,0.4,0.44,356,0,LOW
7.15,5,4,1,4.42,0.4,0.4,0.44,355,0,LOW
7.72,6,4,0,4.11,1.2,0.2,0.54,354,0,MODERATE
8.0,7,5,1,4.11,1.4,0.4,0.56,353,0,MODERATE
8.0,8,6,1,4.11,1.4,0.4,0.56,352,0,MODERATE
8.0,9,7,1,4.11,1.4,0.4,0.56,351,0,MODERATE
7.98,10,8,1,4.11,1.4,0.4,0.56,350,0,MODERATE
7.97,11,9,1,4.11,1.4,0.4,0.56,349,0,MODERATE
7.69,12,9,0,3.8,1.05,0.05,0.52,348,0,MODERATE
7.65,13,10,1,3.8,1.4,0.4,0.56,347,0,MODERATE
7.65,14,10,0,3.49,1.03,0.03,0.52,346,0,MODERATE
7.48,15,10,0,3.18,0.01,0.01,0.4,345,0,LOW
7.44,16,11,1,3.18,0.4,0.4,0.44,344,0,LOW
7.47,17,12,1,3.18,0.4,0.4,0.44,343,0,LOW
7.45,18,13,1,3.18,0.4,0.4,0.44,342,0,LOW
7.27,19,13,0,2.87,0.03,0.03,0.4,341,0,LOW
7.68,20,13,0,2.56,1.06,0.06,0.53,340,0,MODERATE
7.92,21,13,0,2.25,1.1,0.1,0.53,339,0,MODERATE
8.0,22,13,0,1.94,1.1,0.1,0.53,338,0,MODERATE
8.0,23,14,1,1.94,1.4,0.4,0.56,337,0,MODERATE
8.0,24,15,1,1.94,1.4,0.4,0.56,336,0,MODERATE
7.98,25,15,0,1.63,1.06,0.06,0.53,335,0,MODERATE
7.78,26,16,1,1.63,1.4,0.4,0.56,334,0,MODERATE
7.66,27,17,1,1.63,1.4,0.4,0.56,333,0,MODERATE
7.62,28,18,1,1.63,1.4,0.4,0.56,332,0,MODERATE
7.65,29,19,1,1.63,1.4,0.4,0.56,331,0,MODERATE
7.66,30,20,1,1.63,1.4,0.4,0.56,330,0,MODERATE
7.59,31,21,1,1.63,1.4,0.4,0.56,329,0,MODERATE
7.56,32,22,1,1.63,1.4,0.4,0.56,328,0,MODERATE
7.61,33,23,1,1.63,1.4,0.4,0.56,327,1,MODERATE
7.59,34,24,1,1.63,1.4,0.4,0.56,326,1,MODERATE
7.59,35,25,1,1.63,1.4,0.4,0.56,325,1,MODERATE
7.59,36,26,1,1.63,1.4,0.4,0.56,324,1,MODERATE
7.6,37,27,1,1.63,1.4,0.4,0.56,323,1,MODERATE
7.54,38,28,1,1.63,1.4,0.4,0.56,322,1,MODERATE
7.51,39,29,1,1.63,1.4,0.4,0.56,321,1,MODERATE
7.54,40,30,1,1.63,1.4,0.4,0.56,320,1,MODERATE
7.38,41,31,1,1.63,1.4,0.4,0.56,319,1,MODERATE
7.39,42,32,1,1.63,1.4,0.4,0.56,318,1,MODERATE
8.0,43,33,1,1.63,2.4,0.4,0.68,317,0,HIGH
8.0,44,33,0,7.28,2.18,0.18,0.66,316,0,HIGH
8.0,45,34,1,7.28,2.4,0.4,0.68,315,0,HIGH
8.0,46,35,1,7.28,2.4,0.4,0.68,314,0,HIGH
8.0,47,36,1,1.94,2.4,0.4,0.68,313,0,HIGH
8.0,48,37,1,1.94,2.4,0.4,0.68,312,0,HIGH
7.73,49,38,1,1.94,2.4,0.4,0.68,311,0,HIGH
7.68,50,39,1,1.94,2.4,0.4,0.68,310,0,HIGH
8.0,51,40,1,1.94,2.4,0.4,0.68,309,0,HIGH
8.0,52,41,1,1.94,2.4,0.4,0.68,308,0,HIGH
8.0,53,42,1,1.94,2.4,0.4,0.68,307,0,HIGH
8.0,54,43,1,1.94,2.4,0.4,0.68,306,0,HIGH
7.84,55,44,1,1.94,2.4,0.4,0.68,305,0,HIGH
7.81,56,45,1,1.94,2.4,0.4,0.68,304,0,HIGH
7.62,57,46,1,1.94,2.4,0.4,0.68,303,0,HIGH
7.68,58,47,1,1.94,2.4,0.4,0.68,302,0,HIGH
7.52,59,47,0,1.63,2.19,0.19,0.66,301,0,HIGH
8.0,60,48,1,1.63,2.4,0.4,0.68,300,0,HIGH
8.0,61,49,1,1.63,2.4,0.4,0.68,299,0,HIGH
8.0,62,50,1,1.63,2.4,0.4,0.68,298,0,HIGH
8.0,63,51,1,1.63,2.4,0.4,0.68,297,0,HIGH
7.78,64,52,1,1.63,2.4,0.4,0.68,296,0,HIGH
7.66,65,53,1,1.63,2.4,0.4,0.68,295,0,HIGH
7.66,66,54,1,1.63,2.4,0.4,0.68,294,0,HIGH
7.45,67,55,1,1.63,1.4,0.4,0.56,293,1,MODERATE
7.34,68,56,1,1.63,1.4,0.4,0.56,292,1,MODERATE
7.21,69,57,1,1.63,1.4,0.4,0.56,291,1,MODERATE
6.98,70,58,1,1.63,1.4,0.4,0.56,290,1,MODERATE
6.97,71,59,1,1.63,1.4,0.4,0.56,289,1,MODERATE
6.94,72,60,1,1.63,1.4,0.4,0.56,288,1,MODERATE
6.88,73,61,1,1.63,2.2,0.7,0.59,287,0,HIGH
6.9,74,62,1,1.63,2.2,0.7,0.59,286,0,HIGH
6.9,75,63,1,1.63,2.2,0.7,0.59,285,0,HIGH
6.85,76,64,1,1.63,2.2,0.7,0.59,284,0,HIGH
6.89,77,65,1,1.63,2.2,0.7,0.59,283,0,HIGH
6.93,78,66,1,1.63,2.2,0.7,0.59,282,0,HIGH
6.94,79,67,1,1.63,2.2,0.7,0.59,281,0,HIGH
6.87,80,68,1,1.63,2.2,0.7,0.59,280,0,HIGH
6.95,81,69,1,1.63,2.2,0.7,0.59,279,0,HIGH
6.87,82,70,1,1.63,2.2,0.7,0.59,278,0,HIGH
6.83,83,71,1,1.63,2.2,0.7,0.59,277,0,HIGH
6.8,84,72,1,1.63,2.2,0.7,0.59,276,0,HIGH
6.65,85,73,1,1.63,2.2,0.7,0.59,275,0,HIGH
6.54,86,74,1,1.63,2.2,0.7,0.59,274,0,HIGH
6.53,87,75,1,1.63,2.2,0.7,0.59,273,0,HIGH
6.37,88,75,0,1.32,2.2,0.7,0.59,272,0,HIGH
6.39,89,76,1,1.32,2.2,0.7,0.59,271,0,HIGH
6.16,90,77,1,1.32,2.2,0.7,0.59,270,0,HIGH
6.09,91,78,1,1.32,2.2,0.7,0.59,269,0,HIGH
6.14,92,79,1,1.32,2.2,0.7,0.59,268,0,HIGH
6.3,93,80,1,1.32,2.2,0.7,0.59,267,0,HIGH
6.41,94,81,1,1.32,2.2,0.7,0.59,266,0,HIGH
6.27,95,82,1,1.32,2.2,0.7,0.59,265,0,HIGH
6.3,96,83,1,1.32,2.2,0.7,0.59,264,0,HIGH
6.19,97,84,1,1.32,2.2,0.7,0.59,263,0,HIGH
6.15,98,85,1,1.32,2.2,0.7,0.59,262,0,HIGH
6.09,99,86,1,1.32,2.2,0.7,0.59,261,0,HIGH
